Hesap No,Müşteri No,Hesap Türü,Bakiye,Bakiye (TL),Bakiye (USD),Bakiye (EUR),Şube Kodu,Hesap Açılış Tarihi,Hesap Durumu
1,1,Vadeli Mevduat,121787.39,121787.39,15383.57,14336.5,34,2021-08-18,Aktif
2,1,Vadesiz Mevduat,113466.18,113466.18,14449.69,12296.58,4,2024-05-29,Aktif
3,2,Vadeli Mevduat,139257.66,139257.66,15556.12,11010.12,12,2021-02-17,Kapalı
4,2,Vadesiz Mevduat,107857.68,107857.68,4603.15,11124.82,9,2021-07-13,Aktif
5,2,Vadesiz Mevduat,38131.33,38131.33,310.18,1188.47,28,2022-07-18,Aktif
6,3,Vadeli Mevduat,9399.96,9399.96,353.39,471.8,3,2023-06-14,Aktif
7,3,Vadeli Mevduat,117364.85,117364.85,7.91,6919.05,32,2021-12-24,Aktif
8,3,Vadesiz Mevduat,49051.88,49051.88,4442.73,328.64,33,2022-09-29,Aktif
9,4,Vadeli Mevduat,61398.96,61398.96,6523.38,7242.41,14,2022-05-11,Aktif
10,5,Vadesiz Mevduat,119046.22,119046.22,457.91,8409.39,13,2023-05-04,Aktif
11,6,Vadesiz Mevduat,128240.07,128240.07,7073.1,8553.08,5,2023-05-18,Aktif
12,6,Vadesiz Mevduat,143862.6,143862.6,1964.7,16169.92,17,2023-12-18,Aktif
13,7,Vadesiz Mevduat,36128.49,36128.49,1215.33,2321.91,1,2024-08-08,Aktif
14,8,Vadesiz Mevduat,127762.39,127762.39,17459.74,1256.48,2,2022-12-23,Aktif
15,8,Vadesiz Mevduat,69327.82,69327.82,9882.31,1579.94,33,2022-02-02,Aktif
16,9,Vadesiz Mevduat,144883.69,144883.69,7298.53,10302.11,23,2021-11-23,Aktif
17,9,Vadeli Mevduat,38584.44,38584.44,3342.39,4018.07,40,2023-05-15,Aktif
18,9,Vadeli Mevduat,55014.21,55014.21,897.74,4415.33,34,2024-09-05,Aktif
19,10,Vadeli Mevduat,72689.99,72689.99,1255.44,270.52,21,2021-02-03,Aktif
20,10,Vadesiz Mevduat,145371.45,145371.45,14690.45,16577.42,21,2022-06-19,Aktif
21,10,Vadeli Mevduat,65942.85,65942.85,4773.79,4849.94,28,2024-07-10,Aktif
22,11,Vadeli Mevduat,12509.79,12509.79,400.55,1493.56,24,2024-02-09,Aktif
23,11,Vadesiz Mevduat,54295.46,54295.46,2182.65,2967.21,9,2022-03-31,Aktif
24,12,Vadesiz Mevduat,91617.49,91617.49,1410.64,925.61,7,2021-11-30,Kapalı
25,13,Vadesiz Mevduat,93437.39,93437.39,13010.82,7752.66,11,2024-09-03,Aktif
26,13,Vadesiz Mevduat,115074.48,115074.48,13397.45,3221.71,7,2024-01-22,Aktif
27,14,Vadeli Mevduat,138577.37,138577.37,17178.23,15926.2,5,2024-10-11,Aktif
28,14,Vadesiz Mevduat,137338.5,137338.5,15150.73,11620.1,25,2021-05-23,Aktif
29,15,Vadeli Mevduat,148089.28,148089.28,2258.81,3921.17,15,2023-03-14,Kapalı
30,15,Vadeli Mevduat,99252.04,99252.04,8035.51,7322.18,31,2023-08-27,Aktif
31,15,Vadesiz Mevduat,79053.67,79053.67,11365.92,7197.28,23,2021-02-11,Aktif
32,16,Vadeli Mevduat,10108.76,10108.76,1490.69,1076.83,9,2022-08-18,Aktif
33,16,Vadesiz Mevduat,45453.04,45453.04,4266.27,4561.1,9,2021-11-22,Aktif
34,17,Vadesiz Mevduat,138273.42,138273.42,11788.53,6472.71,28,2022-09-21,Aktif
35,17,Vadesiz Mevduat,117837.4,117837.4,7844.11,13589.84,13,2022-10-07,Aktif
36,18,Döviz Hesabı,27391.57,27391.57,726.45,1103.01,29,2021-01-26,Aktif
37,18,Vadeli Mevduat,38530.7,38530.7,150.14,2861.44,33,2024-02-18,Aktif
38,18,Döviz Hesabı,143601.12,143601.12,7520.06,13521.0,34,2021-07-07,Aktif
39,19,Vadeli Mevduat,55507.12,55507.12,8258.55,4262.57,10,2024-09-01,Aktif
40,19,Vadesiz Mevduat,138136.95,138136.95,14722.01,11664.09,31,2023-01-04,Aktif
41,20,Vadesiz Mevduat,106540.18,106540.18,1406.45,9448.38,3,2022-05-12,Kapalı
42,20,Vadesiz Mevduat,142692.84,142692.84,5744.7,10661.06,6,2024-09-27,Aktif
43,20,Vadesiz Mevduat,89497.08,89497.08,5192.67,8477.2,36,2024-08-25,Aktif
44,21,Vadesiz Mevduat,114724.82,114724.82,13282.77,3874.25,14,2023-09-23,Aktif
45,22,Vadesiz Mevduat,31413.37,31413.37,3572.21,1198.24,34,2022-12-12,Aktif
46,22,Vadeli Mevduat,133261.2,133261.2,19250.34,12966.99,12,2023-04-04,Aktif
47,23,Döviz Hesabı,106227.15,106227.15,2735.17,482.14,34,2022-12-14,Aktif
48,23,Vadesiz Mevduat,117258.42,117258.42,3462.77,3810.46,18,2022-09-07,Aktif
49,24,Vadeli Mevduat,14390.14,14390.14,1105.33,1205.64,17,2023-12-11,Aktif
