Müşteri No,Ad,Soyad,Cinsiyet,Doğum Tarihi,İkamet İli,Meslek,Müşteri Segmenti,İlk Kayıt Tarihi,Adres,Telefon Numarası
1,Deniz,Ozdemir,F,1965-10-21,Eskisehir,Yazılım Geliştirici,Standart,2021-11-29,"Zeytinlik Mah. 11. Sokak No:36, Eskisehir, Türkiye",0531 101 10 01
2,Deniz,Yildirim,F,1962-06-02,Adana,Resepsiyonist,Standart,2024-04-29,"Yıldız Mah. 20. Sokak No:45, Adana, Türkiye",0532 102 10 02
3,Zeynep,Polat,F,1959-04-03,Ankara,Öğretmen,Standart,2021-07-20,"Çamlık Mah. 3. Sokak No:45, Ankara, Türkiye",0533 103 10 03
4,Yusuf,Kurt,M,1991-03-10,Manisa,Öğretmen,Öğrenci,2021-05-09,"Batıkent Mah. 11. Sokak No:56, Manisa, Türkiye",0534 104 10 04
5,Gokhan,Sahin,M,1961-09-17,Balikesir,Yazılım Geliştirici,Standart,2023-08-02,"Koşuyolu Mah. 16. Sokak No:31, Balikesir, Türkiye",0530 105 10 05
6,Yusuf,Kurt,M,1973-10-20,Antalya,Tasarımcı,Öğrenci,2021-11-18,"Güzelbahçe Mah. 9. Sokak No:10, Antalya, Türkiye",0531 106 10 06
7,Fatma,Dogan,F,1964-02-12,Denizli,Hemşire,Özel Bankacılık,2022-07-30,"Bahariye Mah. 6. Sokak No:55, Denizli, Türkiye",0532 107 10 07
8,Yusuf,Kurt,M,1969-11-28,Adana,Yazılım Geliştirici,Öğrenci,2021-03-20,"Kurtuluş Mah. 21. Sokak No:56, Adana, Türkiye",0533 108 10 08
9,Omer,Polat,M,1996-12-05,Samsun,Mühendis,Standart,2024-01-28,"Batıkent Mah. 14. Sokak No:37, Samsun, Türkiye",0534 109 10 09
10,Omer,Sahin,M,1983-06-19,Kocaeli,Yazılım Geliştirici,Standart,2023-01-24,"Ataköy Mah. 11. Sokak No:55, Kocaeli, Türkiye",0530 110 10 10
11,Seda,Ozdemir,F,1976-02-04,Adana,Mühendis,Özel Bankacılık,2022-06-24,"Karşıyaka Mah. 20. Sokak No:59, Adana, Türkiye",0531 111 10 11
12,Zeynep,Ozkan,F,1985-04-26,Izmir,Doktor,Standart,2024-05-02,"Zeytinlik Mah. 22. Sokak No:17, Izmir, Türkiye",0532 112 10 12
13,Merve,Celik,F,1974-12-10,Sakarya,Öğrenci,Özel Bankacılık,2023-03-28,"Ataköy Mah. 5. Sokak No:27, Sakarya, Türkiye",0533 113 10 13
14,Ahmet,Aydin,M,1980-04-19,Manisa,Mühendis,Öğrenci,2024-10-09,"Pozcu Mah. 22. Sokak No:5, Manisa, Türkiye",0534 114 10 14
15,Ahmet,Aslan,M,1975-04-07,Balikesir,Tasarımcı,Özel Bankacılık,2021-02-10,"Kızılay Mah. 17. Sokak No:22, Balikesir, Türkiye",0530 115 10 15
16,Omer,Simsek,M,1979-11-24,Manisa,Mühendis,Standart,2021-11-13,"Koşuyolu Mah. 3. Sokak No:1, Manisa, Türkiye",0531 116 10 16
17,Elif,Demir,F,1993-05-27,Kocaeli,Mühendis,Öğrenci,2024-04-03,"Tunalı Mah. 26. Sokak No:58, Kocaeli, Türkiye",0532 117 10 17
18,Seda,Polat,F,1957-07-26,Ankara,Tasarımcı,Standart,2021-11-24,"Çamlık Mah. 3. Sokak No:27, Ankara, Türkiye",0533 118 10 18
19,Mehmet,Demir,M,1984-11-24,Kayseri,Muhasebeci,Standart,2024-05-26,"Göztepe Mah. 27. Sokak No:57, Kayseri, Türkiye",0534 119 10 19
20,Merve,Cetin,F,1975-07-18,Sakarya,Mühendis,Standart,2021-05-20,"Yenişehir Mah. 26. Sokak No:6, Sakarya, Türkiye",0530 120 10 20
21,Yusuf,Polat,M,1998-01-11,Ankara,Resepsiyonist,Standart,2024-05-17,"Kemerburgaz Mah. 9. Sokak No:35, Ankara, Türkiye",0531 121 10 21
22,Fatma,Kilic,F,1968-02-02,Kayseri,Tasarımcı,Standart,2021-04-20,"Çankaya Mah. 20. Sokak No:57, Kayseri, Türkiye",0532 122 10 22
23,Merve,Simsek,F,1995-03-27,Manisa,Öğrenci,Öğrenci,2023-06-18,"Moda Mah. 8. Sokak No:57, Manisa, Türkiye",0533 123 10 23
24,Fatma,Ozkan,F,1988-04-21,Istanbul,Yönetici,Standart,2023-02-12,"Levent Mah. 17. Sokak No:1, Istanbul, Türkiye",0534 124 10 24
25,Gokhan,Sahin,M,1998-01-25,Konya,Mühendis,Standart,2023-05-22,"Kurtuluş Mah. 8. Sokak No:45, Konya, Türkiye",0530 125 10 25
26,Cem,Kurt,M,1969-08-16,Antalya,Öğretmen,Standart,2024-03-26,"Göztepe Mah. 29. Sokak No:16, Antalya, Türkiye",0531 126 10 26
27,Omer,Cetin,M,1994-06-26,Denizli,Tasarımcı,Standart,2021-04-19,"Cihangir Mah. 13. Sokak No:9, Denizli, Türkiye",0532 127 10 27
28,Emre,Koc,M,1987-04-14,Denizli,Resepsiyonist,Standart,2023-07-09,"Yenimahalle Mah. 19. Sokak No:10, Denizli, Türkiye",0533 128 10 28
29,Ayse,Ozdemir,F,1985-11-27,Balikesir,Mühendis,Özel Bankacılık,2023-06-10,"Bahariye Mah. 1. Sokak No:12, Balikesir, Türkiye",0534 129 10 29
30,Ayse,Sahin,F,1986-07-15,Kocaeli,Öğrenci,Özel Bankacılık,2022-05-29,"Kurtuluş Mah. 4. Sokak No:56, Kocaeli, Türkiye",0530 130 10 30
31,Omer,Kilic,M,1991-12-15,Kayseri,Tasarımcı,Özel Bankacılık,2021-09-30,"Alsancak Mah. 11. Sokak No:17, Kayseri, Türkiye",0531 131 10 31
32,Mustafa,Aydin,M,1993-11-07,Balikesir,Mühendis,Standart,2023-02-20,"Göztepe Mah. 20. Sokak No:17, Balikesir, Türkiye",0532 132 10 32
33,Omer,Dogan,M,1975-06-17,Ankara,Yönetici,Özel Bankacılık,2023-11-07,"Teşvikiye Mah. 6. Sokak No:36, Ankara, Türkiye",0533 133 10 33
34,Elif,Celik,F,1973-11-02,Adana,Muhasebeci,Standart,2023-11-26,"Balgat Mah. 5. Sokak No:8, Adana, Türkiye",0534 134 10 34
35,Ece,Aslan,F,1971-05-09,Bursa,Muhasebeci,Özel Bankacılık,2024-03-13,"Emek Mah. 19. Sokak No:52, Bursa, Türkiye",0530 135 10 35
36,Ahmet,Kaya,M,1991-12-17,Istanbul,Hemşire,Standart,2021-04-01,"Yeşiltepe Mah. 6. Sokak No:50, Istanbul, Türkiye",0531 136 10 36
37,Fatma,Aydin,F,1972-04-09,Erzurum,Öğretmen,Standart,2024-02-16,"Yalı Mah. 21. Sokak No:18, Erzurum, Türkiye",0532 137 10 37
38,Ali,Yilmaz,M,1991-11-15,Adana,Tasarımcı,Standart,2022-12-04,"Akçay Mah. 17. Sokak No:2, Adana, Türkiye",0533 138 10 38
39,Ece,Ozdemir,F,1976-01-04,Antalya,Doktor,Standart,2021-10-29,"Yıldız Mah. 30. Sokak No:7, Antalya, Türkiye",0534 139 10 39
40,Cem,Kilic,M,1986-03-09,Adana,Satış Görevlisi,Standart,2024-02-25,"Kurtuluş Mah. 1. Sokak No:43, Adana, Türkiye",0530 140 10 40
41,Can,Koc,M,1981-07-25,Samsun,Satış Görevlisi,Standart,2022-08-13,"Yeşiltepe Mah. 28. Sokak No:7, Samsun, Türkiye",0531 141 10 41
42,Gokhan,Cetin,M,1971-09-26,Antalya,Resepsiyonist,Standart,2021-06-22,"Yeşiltepe Mah. 25. Sokak No:33, Antalya, Türkiye",0532 142 10 42
43,Zeynep,Aslan,F,2005-03-17,Malatya,Mühendis,Standart,2023-05-04,"Ataköy Mah. 27. Sokak No:6, Malatya, Türkiye",0533 143 10 43
44,Zeynep,Yildiz,F,1964-10-24,Konya,Öğrenci,Standart,2023-04-26,"Beylerbeyi Mah. 6. Sokak No:52, Konya, Türkiye",0534 144 10 44
45,Mehmet,Koc,M,1994-02-03,Trabzon,Yönetici,Standart,2023-11-30,"Göztepe Mah. 6. Sokak No:40, Trabzon, Türkiye",0530 145 10 45
46,Merve,Celik,F,1998-10-04,Konya,Hemşire,Özel Bankacılık,2022-03-16,"Mavişehir Mah. 15. Sokak No:15, Konya, Türkiye",0531 146 10 46
47,Mustafa,Yildiz,M,1989-04-19,Antalya,Tasarımcı,Standart,2021-10-28,"Göztepe Mah. 15. Sokak No:60, Antalya, Türkiye",0532 147 10 47
48,Ece,Sahin,F,1962-08-12,Trabzon,Doktor,Standart,2021-05-03,"Arnavutköy Mah. 3. Sokak No:17, Trabzon, Türkiye",0533 148 10 48
49,Ayse,Ozkan,F,1995-10-11,Manisa,Öğretmen,Standart,2024-01-13,"Koşuyolu Mah. 30. Sokak No:15, Manisa, Türkiye",0534 149 10 49
